"Format","AiM CSV File"
"Session","45.392°N, 75.696°W"
"Vehicle","GG25"
"Racer","Faran"
"Championship","P7"
"Comment","arb 90 degrees 
times:
"
"Date","Saturday, August 16, 2025"
"Time","5:43 PM"
"Sample Rate","20"
"Duration","142"
"Segment","Session"
"Beacon Markers","142"
"Segment Times","2:22.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"5.600","0.0988","10","0.0000","0.0000","-44.3358","30.5658","0.0000","28.8927","31.8340","0.1868","10000.0000","45.39186103","-75.69645607"
"5.650","0.1127","10","0.0000","0.0000","-46.3993","108.1576","0.0000","28.8930","31.7840","0.1864","10000.0000","45.39186116","-75.69645612"
"5.700","0.1894","10","0.0000","0.0000","-28.8245","51.7252","0.0000","28.8950","31.7340","0.2064","10000.0000","45.39186127","-75.69645623"
"5.750","0.2144","10","0.0000","0.0000","-21.4365","40.0150","0.0000","28.8969","31.6840","0.2104","10000.0000","45.39186136","-75.69645634"
"5.800","0.1296","10","0.0000","0.0000","-35.6956","123.3394","0.0000","28.8987","31.6340","0.1804","10000.0000","45.39186140","-75.69645647"
"5.850","0.0893","10","0.0000","0.0000","-42.3087","160.8303","0.0000","28.9008","31.5840","0.1696","10000.0000","45.39186145","-75.69645657"
"5.900","0.1433","10","0.0000","0.0000","-32.6739","100.9252","0.0000","28.9035","31.5340","0.1996","10000.0000","45.39186149","-75.69645663"
"5.950","0.1763","10","0.0000","0.0000","-27.0278","70.0241","0.0000","28.9040","31.4840","0.2152","10000.0000","45.39186153","-75.69645669"
"6.000","0.1648","10","0.0000","0.0000","-29.8575","100.7568","0.0000","28.8997","31.4340","0.2002","10000.0000","45.39186157","-75.69645674"
"6.050","0.1500","10","0.0000","0.0000","-32.8334","127.3100","0.0000","28.8996","31.3840","0.1868","10000.0000","45.39186161","-75.69645681"
"6.100","0.1285","10","0.0000","0.0000","-36.1198","144.9817","0.0000","28.9084","31.3340","0.1768","10000.0000","45.39186166","-75.69645695"
"6.150","0.1220","10","0.0000","0.0000","-35.0858","149.3158","0.0000","28.9175","31.2840","0.1732","10000.0000","45.39186170","-75.69645707"
"6.200","0.1476","10","0.0000","0.0000","-24.8707","125.3074","0.0000","28.9271","31.2340","0.1832","10000.0000","45.39186174","-75.69645715"
"6.250","0.1674","10","0.0000","0.0000","-19.4947","113.7745","0.0000","28.9334","31.1840","0.1900","10000.0000","45.39186177","-75.69645722"
"6.300","0.1749","10","0.0000","0.0000","-24.4019","128.7521","0.0000","28.9325","31.1340","0.1900","10000.0000","45.39186178","-75.69645728"
"6.350","0.1903","10","0.0000","0.0000","-27.2770","123.9866","0.0000","28.9284","31.0840","0.1948","10000.0000","45.39186182","-75.69645733"
"6.400","0.2223","10","0.0000","0.0000","-25.8337","77.2671","0.0000","28.9173","31.0340","0.2098","10000.0000","45.39186192","-75.69645734"
"6.450","0.2585","10","0.0000","0.0000","-23.9069","47.7090","0.0000","28.9076","30.9840","0.2216","10000.0000","45.39186201","-75.69645734"
"6.500","0.3034","10","0.0000","0.0000","-20.9522","54.6186","0.0000","28.9008","30.9340","0.2266","10000.0000","45.39186207","-75.69645731"
"6.550","0.3471","10","0.0000","0.0000","-18.9797","56.5457","0.0000","28.8937","30.8840","0.2300","10000.0000","45.39186213","-75.69645730"
"6.600","0.3886","10","0.0000","0.0000","-19.0942","47.8853","0.0000","28.8861","30.8340","0.2300","10000.0000","45.39186220","-75.69645733"
"6.650","0.3811","10","0.0000","0.0000","-22.8749","47.7584","0.0000","28.8825","30.7840","0.2252","10000.0000","45.39186224","-75.69645740"
"6.700","0.2696","10","0.0000","0.0000","-34.4461","65.7653","0.0000","28.8875","30.7340","0.2102","10000.0000","45.39186219","-75.69645756"
"6.750","0.1939","10","0.0000","0.0000","-42.3145","78.0100","0.0000","28.8907","30.6840","0.2000","10000.0000","45.39186216","-75.69645768"
"6.800","0.1939","10","0.0000","0.0000","-42.3145","78.0100","0.0000","28.8898","30.6340","0.2000","10000.0000","45.39186217","-75.69645774"
"6.850","0.1873","10","0.0000","0.0000","-43.9045","89.8616","0.0000","28.8867","30.5840","0.1936","10000.0000","45.39186216","-75.69645781"
"6.900","0.1667","10","0.0000","0.0000","-48.8731","126.8979","0.0000","28.8787","30.5340","0.1736","10000.0000","45.39186210","-75.69645787"
"6.950","0.1979","10","0.0000","0.0000","-47.5174","133.5499","0.0000","28.8681","30.5000","0.1712","10000.0000","45.39186209","-75.69645787"
"7.000","0.3390","10","0.0000","0.0000","-32.7226","75.6351","0.0000","28.8518","30.5000","0.2062","10000.0000","45.39186218","-75.69645775"
"7.050","0.6405","10","0.0012","0.0531","-19.7735","39.7275","0.0000","28.8411","30.4840","0.2300","10000.0000","45.39186229","-75.69645754"
"7.100","1.2827","10","0.0050","0.2188","-10.7462","50.5852","0.0000","28.8425","30.4340","0.2300","10000.0000","45.39186247","-75.69645717"
"7.150","2.0717","10","0.0062","0.3597","-4.2013","57.6462","0.0000","28.8433","30.3840","0.2300","10000.0000","45.39186274","-75.69645667"
"7.200","3.1727","10","0.0019","0.4477","-2.9311","56.6392","0.0000","28.8429","30.3340","0.2300","10000.0000","45.39186319","-75.69645589"
"7.250","4.2723","10","0.0001","0.5283","-1.8736","56.6748","0.5310","28.8476","30.2840","0.2316","128.0429","45.39186366","-75.69645500"
"7.300","5.3689","10","0.0036","0.5931","-1.2682","58.9258","2.1905","28.8630","30.2340","0.2366","39.0083","45.39186416","-75.69645385"
"7.350","6.4427","10","0.0057","0.6498","-0.8091","60.3206","3.0212","28.8766","30.2000","0.2400","33.9392","45.39186469","-75.69645258"
"7.400","7.4680","10","0.0048","0.6890","-0.6612","59.8958","2.0908","28.8864","30.2000","0.2400","56.8463","45.39186531","-75.69645106"
"7.450","8.5833","10","0.0029","0.7109","-0.5180","58.9497","1.0690","28.8951","30.1840","0.2400","127.7962","45.39186606","-75.69644944"
"7.500","9.8901","10","-0.0012","0.6958","-0.3849","56.8957","-0.1473","28.9016","30.1340","0.2400","1068.3479","45.39186709","-75.69644761"
"7.550","11.1434","10","-0.0065","0.6690","-0.2679","56.1266","-1.3979","28.9058","30.0840","0.2400","126.8721","45.39186810","-75.69644569"
"7.600","12.2830","10","-0.0142","0.6174","-0.1852","58.0879","-2.7212","28.9052","30.0340","0.2400","71.8385","45.39186906","-75.69644360"
"7.650","13.3294","10","-0.0194","0.5612","-0.1298","59.1126","-3.5337","28.9029","30.0000","0.2400","60.0353","45.39187011","-75.69644146"
"7.700","14.1777","10","-0.0195","0.4955","-0.1327","58.1469","-3.2603","28.8969","30.0000","0.2400","69.2100","45.39187131","-75.69643922"
"7.750","14.8738","10","-0.0219","0.4272","-0.1223","57.4251","-3.3383","28.8971","29.9840","0.2400","70.9114","45.39187249","-75.69643695"
"7.800","15.2465","10","-0.0290","0.3536","-0.0839","57.2214","-4.1630","28.9109","29.9340","0.2400","58.2890","45.39187358","-75.69643459"
"7.850","15.5282","10","-0.0288","0.2759","-0.0501","57.1588","-4.0252","28.9235","29.8840","0.2400","61.3987","45.39187466","-75.69643223"
"7.900","15.6165","10","-0.0133","0.1896","-0.0261","57.3956","-1.8420","28.9336","29.8340","0.2400","134.9301","45.39187572","-75.69642987"
"7.950","15.7475","10","-0.0042","0.1124","0.0097","57.2534","-0.5427","28.9490","29.8000","0.2400","461.8612","45.39187684","-75.69642755"
"8.000","15.9692","10","-0.0088","0.0546","0.0704","56.3057","-1.1213","28.9752","29.8000","0.2400","226.6701","45.39187807","-75.69642532"
